"","PITCHER_KEY","PITCH_TYPE_KEY","PLATE_X","PLATE_Z","PITCH_RESULT_KEY","RELEASE_SPEED","HORIZONTAL_BREAK","INDUCED_VERTICAL_BREAK","RELEASE_HEIGHT","woba_value","GRAVITY"
"109","B","FB",3.55743598937988,33.9400806427002,"FoulBall",90.7298965454102,"2.8962199687957799",13.46399974823,70.0682373046876,NA,36
"110","B","FB",0.906368404626846,28.4678392410278,"InPlay",93.0216979980469,"8.8191404342651403",16.5599002838135,69.0277175903321,1.25,36
"111","B","FB",10.4869201183319,22.5171604156494,"StrikeCalled",92.2001037597656,"5.3406701087951696",18.9951992034912,69.5778007507325,NA,36
"112","B","FB",20.6554799079895,32.1838788986206,"BallCalled",91.7552032470703,"6.5887398719787598",16.8815994262695,69.5210380554199,NA,36
"113","B","CH",3.82786810398102,14.6277594566345,"FoulBall",85.3796997070313,"13.3022003173828",10.8081998825073,69.7031993865967,NA,36
"114","B","CB",-4.43787610530853,5.96190011501312,"BallCalled",77.693000793457,"-11.337800025939901",-7.43546009063721,71.9188785552978,NA,36
"115","B","FB",4.13329195976257,34.4326801300049,"FoulBall",93.2978973388672,"4.4040198326110804",17.8672008514404,69.6053981781006,NA,36
"116","B","FB",-5.97158396244049,18.6871204376221,"StrikeCalled",92.5895004272461,"9.0187501907348597",15.5297002792358,68.7528018951416,NA,36
"117","B","FB",-4.29999589920044,25.5651597976685,"InPlay",91.8433990478516,"7.2219300270080602",12.141300201416,69.1723194122315,0,36
"118","B","CB",-11.198915719986,13.6659593582153,"StrikeSwinging",78.0935974121094,"-13.3572998046875",-4.8879599571228,71.0962772369384,NA,36
"119","B","CB",-7.93443632125854,28.4284801483154,"FoulBall",80.1664962768555,"-11.830599784851101",-2.18763995170593,70.6721992492675,NA,36
"120","B","FB",7.20250797271728,26.0849990844726,"FoulBall",93.1348037719727,"5.2404799461364702",16.6473999023438,69.2703609466553,NA,36
"121","B","FB",-0.911281228065491,29.6488809585571,"FoulBall",93.3195037841797,"5.7733898162841797",19.0659008026123,67.8886814117431,NA,36
"122","B","FB",-5.19253206253051,15.2002801895142,"BallCalled",93.216796875,"7.43208980560303",14.2624998092651,67.4599227905274,NA,36
"123","B","CB",-25.2852001190185,-3.83718001842499,"BallCalled",78.2376022338867,"-15.7411003112793",-3.50802993774414,69.0056419372559,NA,36
"124","B","FB",-2.17465192079544,16.6195206642151,"InPlay",92.2082977294922,"6.3099198341369602",19.5266990661621,68.3611221313476,0.9,36
